Author  Notes,Format,Title,title_href,Year,Cause
Max Simon Ehrlich,Story,The Big Eye,/w/index.php?title=The_Big_Eye&action=edit&redlink=1,1949,Impact Event
Asimov Isaac  a later book Robots and Empire gave a different explanation,Novel,Pebble in the Sky,/wiki/Pebble_in_the_Sky,1950,War
Ray Bradbury in The Martian Chronicles,Story,There Will Come Soft Rains,/wiki/There_Will_Come_Soft_Rains_(short_story),1950,War
Ray Bradbury,Story,The City,/wiki/The_City_(short_story),1950,Disease
Arch Oboler  the film shows the aftermath of a nuclear war centered on a group of five survivors1112,Film,Five10,"/wiki/Five_(1951_film),#cite_note-ReferenceA-10",1951,War
Ray Bradbury  short story in The Illustrated Man,Story,The Visitor,/w/index.php?title=The_Visitor_(short_story)&action=edit&redlink=1,1951,Disease
Scientists discover a star named Bellus is on a collision course with Earth,Film,When Worlds Collide 1951 film,/wiki/When_Worlds_Collide_(1951_film),1951,Impact Event
John Wyndham  Initially thought to be a blinding meteor shower but later suggested to be a manmade satellite based weapon accidentally discharged allowing the bioengineered Triffid plants to dominate,Novel,The Day of the Triffids,/wiki/The_Day_of_the_Triffids,1951,Social Collapse
Robert A Heinlein,Novel,The Puppet Masters,/wiki/The_Puppet_Masters,1951,Aliens
Lord Dunsany,Story,The Last Revolution,,1951,Technology
Asimov Isaac  Mathematician Hari Seldon foresees the fall of the Galactic Empire which encompasses the entire Milky Way,Novel,Foundation,/wiki/Foundation_(novel),1951,Social Collapse
A new primitive society emerges long after a nuclear war The film portrays tribes called the Norms the Upriver People and the Mutates fighting in the remains of New York City1415,Film,Captive Women13,"/wiki/Captive_Women,#cite_note-books.google.co.uk-13",1952,War
,Film,Invasion USAcitation needed,"/wiki/Invasion_U.S.A._(1952_film),/wiki/Wikipedia:Citation_needed",1952,War
Norton Andre Also published as Daybreak 2250 AD and Star Mans Son 2250 AD,Novel,Star Mans Son5,"/w/index.php?title=Star_Man%27s_Son&action=edit&redlink=1,#cite_note-abebooks.co.uk-5",1952,War
Daphne du Maurier  survival horror The 1952 short story The Birds by Daphne du Maurier  made into the 1963 film The Birds by Alfred Hitchcock  in which birds begin launching spontaneous mass attacks against humanity,Story,The Birds,/wiki/The_Birds_(story),1952,Eco
"Gerald Heard a mildrewgenerated fog appears to undermine
civilization16",Story,The Great Fog,,1944,Eco
Clifford D Simak,Novel,City,/wiki/City_(book_by_Clifford_D._Simak),1952,Human Decline
Based on the novel of the same name,Film,The War of the Worlds,/wiki/The_War_of_the_Worlds_(1953_film),1953,Aliens
John Wyndham,Novel,The Kraken Wakes,/wiki/The_Kraken_Wakes,1953,Aliens
Arthur C Clarke  A short story taken from the short story collection of the same name,Story,The Nine Billion Names of God,/wiki/The_Nine_Billion_Names_of_God,1953,Supernatural
Wylie Philip,Novel,Tomorrow,/w/index.php?title=Tomorrow!&action=edit&redlink=1,1954,War
Play by Marghanita Laski,Play,The Offshore Island,/w/index.php?title=The_Offshore_Island&action=edit&redlink=1,1954,War
Richard Matheson  A vampire apocalypse novel adapted to film as The Last Man on Earth 1964 The Omega Man 1971 and I Am Legend 2007,Novel,I Am Legend,/wiki/I_Am_Legend_(novel),1954,Disease
Budrys Algis,Novel,Some Will Not Die,/w/index.php?title=Some_Will_Not_Die&action=edit&redlink=1,1954,Disease
Milton Lesser,Story,Slaves To The Metal Horde,/w/index.php?title=Slaves_To_The_Metal_Horde&action=edit&redlink=1,1954,Technology
Fredric Brown,Story,Answer,/w/index.php?title=Answer_(short_story)&action=edit&redlink=1,1954,Technology
Philip K Dick  short story novelette by Dick Philip K  200 years after a global anarchist revolution society has stagnated due to the loss of scientific knowledge during the revolt Elsewhere the last government a highly centralized and efficient society is in hiding from the Anarchist League a global militia preventing the recreation of any government,Story,The Last of the Masters,/wiki/The_Last_of_the_Masters,1954,Social Collapse
1718,Film,Day the World Ended10,"/wiki/Day_the_World_Ended,#cite_note-ReferenceA-10",1955,War
John Wyndham  US title ReBirth The aftermath of a nuclear war in a rural Canadian community,Novel,The Chrysalids,/wiki/The_Chrysalids,1955,War
Brackett Leigh  in the aftermath of a nuclear war scientific knowledge is feared and restricted,Novel,The Long Tomorrow19,"/wiki/The_Long_Tomorrow_(novel),#cite_note-19",1955,War
Edward Bernd starring Hugh Marlowe Rod Taylor  Robust 20th Century mennarrowly escaping the ubiquitous time warpkill giant spiders help pale nerds and their beautiful women emerge from underground and retake the post World War III surface from troglodyte mutants,Film,World Without End13,"/wiki/World_Without_End_(film),#cite_note-books.google.co.uk-13",1956,War
Dick Philip K,Novel,The World Jones Made,/wiki/The_World_Jones_Made,1956,War
Damon Knight,Story,The Last Word,/wiki/The_Last_Word_(Knight_short_story),1956,War
Fritz Leiber  A small family struggles to survive at nearzero temperatures after Earth is ripped from its solar orbit,Story,A Pail of Air,/wiki/A_Pail_of_Air,1956,Impact Event
Based on the novel The Body Snatchers by Jack Finney,Film,Invasion of the Body Snatchers,/wiki/Invasion_of_the_Body_Snatchers,1956,Aliens
John Christopher  A virus that destroys plants causes massive famine and the breakdown of society Made into the film No Blade of Grass,Novel,The Death of Grass,/wiki/The_Death_of_Grass,1956,Eco
Nevil Shute  also the films based on the book,Novel,On the Beach,/wiki/On_the_Beach_(novel),1957,War
Rand Ayn  American society slowly collapses after the countrys leading industrialists mysteriously disappear,Novel,Atlas Shrugged,/wiki/Atlas_Shrugged,1957,Social Collapse
,Film,Teenage Cave Man10,"/wiki/Teenage_Cave_Man,#cite_note-ReferenceA-10",1958,War
Raymond F Jones The worlds machinery grinds to a halt after comet dust arrives,Novel,The Year When Stardust Fell,,1958,Eco
202122,Film,Terror from the Year 5000,/wiki/Terror_from_the_Year_5000,1958,War
A madefortelevision play by J B Priestley23 Tom Dyson is suddenly caught up in the chaos of a nuclear war Several of the issues brought up in the programme were discussed in an hourlong debate following its conclusion,Television,Doomsday For Dyson,/w/index.php?title=Doomsday_For_Dyson&action=edit&redlink=1,1958,War
A group of survivors from an atomic war become trapped in an underground station  During the play broadcast live on Armchair Theatre one of the actors Gareth Jones actually died whilst the show was on the air,Television,Underground,/wiki/Underground_(1958_TV_play),1958,War
George Peter  filmed as Dr Strangelove by Stanley Kubrick,Novel,Red Alert,/wiki/Red_Alert_(novel),1958,War
The poem from Collected Poems 19581970 by George Macbeth,Poem,Bedtime Story,,19581970,Human Decline
Stanley Kramer  starring Gregory Peck Fred Astaire Anthony Perkins and Ava Gardner  The crew of an American submarine finds temporary safety from the fallout in Australia after the nuclear holocaust from the 1957 novel by Nevil Shute,Film,On the Beach24,"/wiki/On_the_Beach_(1959_film),#cite_note-ReferenceC-24",1959,War
Adapted from MP Shiels The Purple Cloud,Film,The World the Flesh and the Devil10,"/wiki/The_World,_the_Flesh_and_the_Devil_(1959_film),#cite_note-ReferenceA-10",1959,War
A TV adaptation of a play by Marghanita Laski25,Television,The Offshore Island,/w/index.php?title=The_Offshore_Island&action=edit&redlink=1,1959,War
Pat Frank  the aftermath of a nuclear war in a rural Florida community,Novel,Alas Babylon,"/wiki/Alas,_Babylon",1959,War
Roshwald Mordecai,Novel,Level 7,/wiki/Level_7,1959,War
Time Enough at Last 1959 Two 1961 The Old Man in the Cave 1963 A Little Peace and Quiet 1985 Quarantine 1986 Shelter Skelter 1987 and Voices in the Earth 1987,Television,The Twilight Zone  numerous episodes and its revivals,/wiki/The_Twilight_Zone,19591987,War
A Yugoslav science fiction drama film directed by Veljko Bulajic2627,Film,Atomic War Bridecitation needed,"/wiki/Atomic_War_Bride,/wiki/Wikipedia:Citation_needed",1960,War
Shigeaki Hidaka a Japanese film about a third world war started when the US accidentally drops a nuclear bomb on South Korea Japanese title Daisanji sekai taisen Yonjuichi jikan no kyofu2829,Film,The Final War,/w/index.php?title=The_Final_War&action=edit&redlink=1,1960,War
had an atomic war to explain the downfall of civilization,Film,The Time Machine13,"/wiki/The_Time_Machine_(1960_film),#cite_note-books.google.co.uk-13",1960,War
Miller Jr Walter M  sequel Saint Leibowitz and the Wild Horse Woman,Novel,A Canticle for Leibowitz,/wiki/A_Canticle_for_Leibowitz,1960,War
The Earths oxygen levels drop suddenly suffocating most lifesurvivors in an oxygenproducing jungle speculate that this happened because of a bigger and better bomb but the reasons are not made clear,Film,The Last Woman on Earth,/wiki/The_Last_Woman_on_Earth,1960,Eco
Xplane arrives in future after solar radiation catastrophe,Film,Beyond the Time Barrier,http://www.imdb.com/title/tt0053651/,1960,Eco
She Matsubayashi  another Japanese film about World War III Japanese title Sekai daisenso3031,Film,The Last War,/wiki/The_Last_War_(1961_film),1961,War
Galouye Daniel F,Novel,Dark Universe,/wiki/Dark_Universe_(novel),1961,War
The Van Allen belt catches on fire,Film,Voyage to the Bottom of the Sea,/wiki/Voyage_to_the_Bottom_of_the_Sea,1961,Eco
JG Ballard  First published novel World destroyed by increasingly powerful winds,Novel,The Wind from Nowhere,/wiki/The_Wind_from_Nowhere,1961,Eco
Chris Marker,Film,La jete32,"/wiki/La_jet%C3%A9e,#cite_note-32",1962,War
A 1962 movie about a family that escapes Los Angeles after the city is devastated by a nuclear attack,Film,Panic in Year Zero33,"/wiki/Panic_in_Year_Zero!,#cite_note-33",1962,War
2634,Film,This Is Not a Test,/wiki/This_is_Not_a_Test_(1962_film),1962,War
